Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2024-11-18,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1968,
2024-11-19,MFP iOS calorie adjustment,Cardio,0.0,1,,,,773,
2024-11-20,MFP iOS calorie adjustment,Cardio,0.0,1,,,,628,
2024-11-21,MFP iOS calorie adjustment,Cardio,0.0,1,,,,909,
2024-11-22,MFP iOS calorie adjustment,Cardio,0.0,1,,,,674,
2024-11-23,MFP iOS calorie adjustment,Cardio,12.0,1,,,,2707,
2024-11-24,MFP iOS calorie adjustment,Cardio,18.0,1,,,,2479,
2024-11-25,MFP iOS calorie adjustment,Cardio,0.0,1,,,,781,
2024-11-26,MFP iOS calorie adjustment,Cardio,114.0,1,,,,9272,
2024-11-27,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1289,
2024-11-28,MFP iOS calorie adjustment,Cardio,19.0,1,,,,3841,
2024-11-29,MFP iOS calorie adjustment,Cardio,96.0,1,,,,10309,
2024-11-30,MFP iOS calorie adjustment,Cardio,16.0,1,,,,2937,
2024-12-01,MFP iOS calorie adjustment,Cardio,125.0,1,,,,9085,
2024-12-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1083,
2024-12-03,MFP iOS calorie adjustment,Cardio,1.0,1,,,,986,
2024-12-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,872,
2024-12-05,MFP iOS calorie adjustment,Cardio,0.0,1,,,,869,
2024-12-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,860,
2024-12-07,MFP iOS calorie adjustment,Cardio,1.0,1,,,,473,
2024-12-08,MFP iOS calorie adjustment,Cardio,45.0,1,,,,5036,
2024-12-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1062,
2024-12-10,MFP iOS calorie adjustment,Cardio,164.0,1,,,,13089,
2024-12-11,MFP iOS calorie adjustment,Cardio,4.0,1,,,,954,
2024-12-12,MFP iOS calorie adjustment,Cardio,0.0,1,,,,667,
2024-12-13,MFP iOS calorie adjustment,Cardio,181.0,1,,,,12823,
2024-12-14,MFP iOS calorie adjustment,Cardio,198.0,1,,,,11875,
2024-12-15,MFP iOS calorie adjustment,Cardio,0.0,1,,,,751,
2024-12-16,MFP iOS calorie adjustment,Cardio,39.0,1,,,,3733,
2024-12-17,MFP iOS calorie adjustment,Cardio,39.0,1,,,,3713,
2024-12-18,MFP iOS calorie adjustment,Cardio,41.0,1,,,,4388,
2024-12-19,MFP iOS calorie adjustment,Cardio,97.0,1,,,,9021,
2024-12-20,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1289,
2024-12-21,MFP iOS calorie adjustment,Cardio,68.0,1,,,,7798,
2024-12-22,MFP iOS calorie adjustment,Cardio,52.0,1,,,,5511,
2024-12-23,MFP iOS calorie adjustment,Cardio,30.0,1,,,,4178,
2024-12-24,MFP iOS calorie adjustment,Cardio,63.0,1,,,,7161,
2024-12-25,MFP iOS calorie adjustment,Cardio,0.0,1,,,,3127,
2024-12-26,MFP iOS calorie adjustment,Cardio,60.0,1,,,,5957,
2024-12-27,MFP iOS calorie adjustment,Cardio,93.0,1,,,,8155,
2024-12-28,MFP iOS calorie adjustment,Cardio,190.0,1,,,,12730,
2024-12-29,MFP iOS calorie adjustment,Cardio,28.0,1,,,,3461,
2024-12-30,MFP iOS calorie adjustment,Cardio,16.0,1,,,,2121,
2024-12-31,MFP iOS calorie adjustment,Cardio,9.0,1,,,,4209,
2025-01-01,MFP iOS calorie adjustment,Cardio,39.0,1,,,,5216,
2025-01-02,MFP iOS calorie adjustment,Cardio,34.0,1,,,,3974,
2025-01-03,MFP iOS calorie adjustment,Cardio,0.0,1,,,,892,
2025-01-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1089,
2025-01-05,MFP iOS calorie adjustment,Cardio,42.0,1,,,,3660,
2025-01-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2075,
2025-01-07,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1918,
2025-01-08,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1523,
2025-01-09,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1549,
2025-01-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1322,
2025-01-11,MFP iOS calorie adjustment,Cardio,35.0,1,,,,3801,
2025-01-12,MFP iOS calorie adjustment,Cardio,114.0,1,,,,11487,
2025-01-13,"""Strength training (weight lifting, weight training)""",Cardio,531.9,120,,,,,
2025-01-13,MFP iOS calorie adjustment,Cardio,0.0,1,,,,6748,
2025-01-14,MFP iOS calorie adjustment,Cardio,26.0,1,,,,6488,
2025-01-15,MFP iOS calorie adjustment,Cardio,23.0,1,,,,6691,
2025-01-16,MFP iOS calorie adjustment,Cardio,5.0,1,,,,9247,
2025-01-17,MFP iOS calorie adjustment,Cardio,2.0,1,,,,5213,
2025-01-18,MFP iOS calorie adjustment,Cardio,95.0,1,,,,9588,
2025-01-19,MFP iOS calorie adjustment,Cardio,7.0,1,,,,2491,
2025-01-20,MFP iOS calorie adjustment,Cardio,0.0,1,,,,4963,
2025-01-21,MFP iOS calorie adjustment,Cardio,111.0,1,,,,10410,
2025-01-22,MFP iOS calorie adjustment,Cardio,4.0,1,,,,1415,
2025-01-23,MFP iOS calorie adjustment,Cardio,162.0,1,,,,12568,
2025-01-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,834,
2025-01-25,MFP iOS calorie adjustment,Cardio,0.0,1,,,,623,
2025-01-26,MFP iOS calorie adjustment,Cardio,1.0,1,,,,596,
2025-01-27,MFP iOS calorie adjustment,Cardio,0.0,1,,,,785,
2025-01-28,MFP iOS calorie adjustment,Cardio,0.0,1,,,,814,
